id_movie,id_production_companies,name_production_companies,revenue
37975,371,Cecchi Gori Group Tiger Cinematografica,0
2074,14,Miramax Films,14702438
27793,264,Studio Babelsberg,0
27793,1766,Dieter Geissler Filmproduktion,0
27793,1979,Cinevox Filmproduktion GmbH,0
27793,6194,Warner Bros.,0
27793,53009,Miramax,0
44284,22029,Canal Horizons,0
44284,22618,Mat Films,0
44284,71842,Cinétéléfilms,0
73067,8,Fine Line Features,0
73067,181,Channel Four Films,0
73067,1898,Bórd Scannán na hÉireann,0
73067,5358,Canal+,0
11863,4,Paramount Pictures,9851610
55475,93488,Cigua Films,0
55475,93489,D'Pelicula,0
9101,306,Twentieth Century Fox Film Corporation,0
123360,68229,Couch Potatoe Productions,0
39428,181,Channel Four Films,0
39428,38778,Academy,0
39428,94477,Mayfair Films,0
39428,94478,Iberoamerica Films,0
9302,1504,Cinergi Pictures Entertainment,0
9302,9195,Touchstone Pictures,0
11000,60,United Artists,185260553
16388,43,Fox Searchlight Pictures,0
9737,5,Columbia Pictures,141407024
9737,10288,Don Simpson/Jerry Bruckheimer Films,141407024
30765,6194,Warner Bros.,0
10474,12,New Line Cinema,0
10474,3492,Island Pictures,0
22279,8,Fine Line Features,851545
22279,5996,BBC,851545
22279,12745,British Screen Productions,851545
22279,16027,Portman Productions,851545
30157,181,Channel Four Films,0
30157,3644,Zenith Entertainment,0
30157,3906,American Playhouse,0
30157,7248,Union Générale Cinématographique (UGC),0
30157,16366,La Sept Cinéma,0
30157,37909,True Fiction Pictures,0
568,23,Imagine Entertainment,355237933
568,33,Universal Pictures,355237933
11780,60,United Artists,31596911
11780,8989,Talisman Productions,31596911
34996,236,October Films,0
34996,1214,Guild,0
34996,5353,Fastnet Films,0
414,6194,Warner Bros.,336529144
414,31080,Polygram Filmed Entertainment,336529144
649,386,Paris Films Productions,0
649,387,Five Films,0
649,11290,Robert et Raymond Hakim,0
1873,5,Columbia Pictures,0
1873,97,Castle Rock Entertainment,0
5894,14,Miramax Films,1275000
5894,30334,InterAL,1275000
1775,1382,PolyGram Filmed Entertainment,178104
8839,33,Universal Pictures,287928194
8839,56,Amblin Entertainment,287928194
8839,11098,The Harvey Entertainment Company,287928194
20649,33,Universal Pictures,13071518
20649,4319,40 Acres & A Mule Filmworks,13071518
10329,4,Paramount Pictures,152022101
10329,7383,"Kennedy/Marshall Company, The",152022101
8963,915,Hollywood Pictures,157387195
8963,10288,Don Simpson/Jerry Bruckheimer Films,157387195
26564,4532,Superior Pictures,3174695
8068,5,Columbia Pictures,25405445
8068,11705,Los Hooligans Productions,25405445
8512,559,TriStar Pictures,16140822
8512,2510,Mundy Lane Entertainment,16140822
1572,306,Twentieth Century Fox Film Corporation,366101666
1572,1504,Cinergi Pictures Entertainment,366101666
13552,729,Why Not Productions,0
13552,1474,Desperate Pictures,0
13552,2765,Blurco,0
13552,18902,The Teen Angst Movie Company,0
259209,9195,Touchstone Pictures,0
259209,20740,Merchant Ivory Productions,0
6520,441,Columbia Pictures Corporation,127600435
6520,10158,First Knight Productions,127600435
9073,508,Regency Enterprises,0
9073,644,Alcor Films,0
9073,5358,Canal+,0
9073,5739,Donner/Shuler-Donner Productions,0
9073,6194,Warner Bros.,0
10428,60,United Artists,7563728
10428,87394,Suftley,7563728
17447,12909,The Booking Office,0
17447,12910,Workin' Man Films,0
9886,559,TriStar Pictures,19075720
9886,2480,Alliance Communications Corporation,19075720
9482,915,Hollywood Pictures,113493481
9482,1504,Cinergi Pictures Entertainment,113493481
19326,559,TriStar Pictures,17014653
9344,14,Miramax Films,7412216
9071,13187,JDI productions,1148752
9071,13190,Lemon Sky Productions,1148752
8973,60,United Artists,0
8973,3557,Seraphim Films,0
15730,1203,The Ontario Film Development Corporation,0
15730,2267,First Choice Films,0
15730,4350,Atlantis Films,0
