id_movie,name_collection,revenue
10787,The Invisible Man (Universal Series),0
27475,The Slumber Party Massacre Collection,0
27764,The Slumber Party Massacre Collection,0
27767,The Slumber Party Massacre Collection,0
40760,The Sorority House Massacre Collection,0
40446,The Sorority House Massacre Collection,0
20455,Digimon Collection,0
1597,Meet The Parents Collection,330444045
21142,Billy Jack Collection,0
78140,Billy Jack Collection,0
18498,Ghoulies Collection,35000000
28605,Ghoulies Collection,0
12207,Drunken Master Collection,0
11531,Blair Witch Collection,0
681,James Bond Collection,116019547
16340,Rugrats Collection,103
10481,101 Dalmatians (Live-Action) Collection,183611771
146,"Crouching Tiger, Hidden Dragon Collection",213525736
11849,Dungeons & Dragons Collection,15185241
708,James Bond Collection,191185897
10673,Wall Street Collection,43848069
1493,Miss Congeniality Collection,212000000
10577,Dracula 2000 Collection,33000337
15739,Annie Collection,57059003
9816,Save The Last Dance Collection,91038276
96,Beverly Hills Cop Collection,299965036
90,Beverly Hills Cop Collection,316360478
19933,The Brave Little Toaster Collection,0
18935,Ernest Collection,23509382
764,Evil Dead Collection,29400000
580,The Jaws Collection,51881013
1547,Lost Boys Collection,32222567
10019,Mannequin Collection,42721196
37302,Left Behind Collection,0
9740,The Hannibal Lecter Anthology,351692268
19405,Disneys Große Pause,44460850
43332,Demetrius Filmreihe,0
17965,Dr. Phibes Collection,0
11454,The Hannibal Lecter Anthology,8620929
14052,Revenge Of The Nerds Collection,0
16889,Revenge Of The Nerds Collection,22642033
23730,C.H.U.D. Collection,3412497
10054,Spy Kids Collection,147934180
2043,Alex Cross Collection,105178561
56715,The Visitors Collection,0
634,Bridget Jones Collection,281929795
10956,Joe Dirt Collection,30987695
9290,Crocodile Dundee Collection,39438674
1734,The Mummy Collection,433013274
808,Shrek Collection,484409218
1406,City Slickers Collection,179033791
41050,Alienation Trilogy,0
966,The Magnificent Seven Collection,4905000
12639,The Magnificent Seven Collection,0
10865,Atlantis Collection,186053725
1995,Tomb Raider Collection,274703340
10808,Dr. Dolittle Collection,176104344
9799,The Fast And The Furious Collection,207283925
60670,The Crimson Rivers Collection,0
10992,Cats & Dogs Collection,93375151
4248,Scary Movie Collection,141220678
26483,Beach Party Collection,0
24382,Totò Collection,0
11286,Cannonball Run Collection,72179579
11950,Cannonball Run Collection,28078073
12236,Cannonball Run Collection,3077361
26573,Dr Goldfoot Collection,0
20075,Cheech & Chong Collection,0
20197,Cheech & Chong Collection,21134374
11906,The Three Mothers Collection,0
2114,Final Fantasy Collection,85131830
8835,Legally Blonde Collection,141774679
26044,Arthur Collection,14681192
18509,Caddyshack Collection,0
3980,Critters Collection,13167232
10127,Critters Collection,3813293
12702,Critters Collection,0
10651,Dirty Harry Collection,0
5680,Elvira Collection,5596267
26386,Ernest Collection,28202109
38500,The Howling Collection,0
12144,The Land Before Time Collection,84460846
24929,Return Of The Living Dead Collection,9205924
10925,Return Of The Living Dead Collection,14237000
13965,The Man From Snowy River Collection,0
24266,The Man From Snowy River Collection,20659423
11966,Short Circuit Collection,21630088
2605,Short Circuit Collection,40697761
41428,Tetsuo Collection,0
29095,The Waxwork Collection,808114
12500,American Ninja Collection,10499694
25678,American Ninja Collection,0
25682,American Ninja Collection,0
32049,Best Of The Best Collection,6500000
53150,C.H.U.D. Collection,0
10134,Cyborg Collection,10166459
15142,Dream A Little Dream Collection,0
25005,Eddie And The Cruisers Collection,0
21721,Eddie And The Cruisers Collection,4786789
10345,K-9 Collection,78247647
10222,Kickboxer Collection,14697005
9942,Major League Collection,49797148
331,Jurassic Park Collection,368780809
19142,Swamp Thing Collection,192816
41946,The Musketeers Collection,0
10135,Road House Collection,30050028
30666,The Stepfather Collection,1519796
25155,The Stepfather Collection,0
11342,Warlock Collection,0
24126,Warlock Collection,0
27813,Basket Case Collection,0
9880,The Princess Diaries Collection,165335153
5175,Rush Hour Collection,347325802
4484,La Cage Aux Folles,20424259
11684,La Cage Aux Folles,6950125
17169,Philo & Clyde Collection,70687344
2770,American Pie Collection,287553595
8922,Jeepers Creepers Collection,59217789
16314,3 Ninjas Collection,0
18885,3 Ninjas Collection,0
40508,3 Ninjas Collection,0
30379,Omega Code Series,0
35200,A Man Called Horse Collection,0
9398,Zoolander Collection,60780981
10866,Joy Ride Collection,36642838
166,The Party Collection,0
13612,Cheech & Chong Collection,41675194
984,Dirty Harry Collection,35976000
141,Darko Collection,1270522
585,"Monsters, Inc. Collection",562816256
45964,When A Stranger Calls Collection,0
671,Harry Potter Collection,976475550
16085,Fanny Brice Collection,52223306
16441,Beastmaster Collection,14056528
34388,Harry Palmer Collection,0
37835,The Exterminator Collection,0
26398,Caprona Collection,0
10649,Dirty Harry Collection,46236000
27591,Caprona Collection,0
10650,Dirty Harry Collection,67642693
8007,Behind Enemy Lines Collection,91753202
120,The Lord Of The Rings Collection,871368364
12593,Fritz The Cat Collection,0
14683,Fritz The Cat Collection,0
45491,Sex And Zen Collection,396003
11595,48 Hrs. Collection,153518974
9610,Conan The Barbarian Collection,100000000
150,48 Hrs. Collection,78868508
11528,The Sandlot Collection,32416586
16690,Peter Pan Collection,109862682
39939,Super Troopers Collection,18492362
