title,text
Accidents Happen,Andrew LancasterComedy Drama
According To Greta,Nancy BardawilDrama Romance
Accused,Jacob ThuesenThriller Drama
Ace High,Giuseppe ColizziAction Comedy Western
Ace In The Hole,Billy WilderDrama
Ace Ventura: Pet Detective,Tom ShadyacComedy Mystery
Ace Ventura: When Nature Calls,Steve OedekerkCrime Comedy Adventure
Across 110Th Street,Barry ShearAction Crime Drama Thriller
Across The Hall,Alex MerkinThriller Mystery Romance
Across The Universe,Julie TaymorAdventure Drama Music Romance
Act Of Valor,Mike McCoyAction Thriller War
Act Of Valor,Scott WaughAction Thriller War
Action Jackson,Craig R. BaxleyAction Adventure Comedy Crime Drama
Adam,Max MayerDrama Romance
Adam'S Apples,Anders Thomas JensenDrama Comedy Crime
Adaptation.,Spike JonzeComedy Crime Drama
Addams Family Reunion,Dave PayneComedy Family Fantasy Thriller TV Movie
Addams Family Values,Barry SonnenfeldComedy Family Fantasy
Addicted,Bille WoodruffDrama Thriller
Addicted To Love,Griffin DunneComedy Romance
Admiral,Roel ReinéAdventure Drama History
Admission,Paul WeitzComedy Drama Romance
Adore,Anne FontaineDrama
Adult Beginners,Ross KatzDrama Comedy
Adult World,Scott CoffeyComedy
Adulthood,Noel ClarkeCrime Drama
Adventureland,Greg MottolaComedy
Adventures In Babysitting,Chris ColumbusThriller Comedy Crime Adventure
Adventures In Babysitting,John SchultzTV Movie Comedy
Adventures Of Arsene Lupin,Jean-Paul SaloméRomance Action Adventure Crime Mystery
Adventures Of Power,Ari GoldComedy
Ae Fond Kiss...,Ken LoachDrama
Afflicted,Derek LeeHorror Thriller
Afflicted,Clif ProwseHorror Thriller
Affliction,Paul SchraderDrama
Afghan Luke,Mike ClattenburgDrama
Afonya,Georgiy DaneliyaRomance Comedy Drama
Africa Screams,Charles BartonComedy
Afro Samurai: Resurrection,Fuminori KizakiAnimation
After,Ryan SmithMystery Thriller
"After Dark, My Sweet",James FoleyCrime Drama Mystery
After Earth,M. Night ShyamalanScience Fiction Action Adventure
After Hours,Martin ScorseseComedy Thriller Drama
After Love,Joachim LafosseDrama Comedy
After Porn Ends,Bryce WagonerDocumentary
After Porn Ends 2,Bryce WagonerDocumentary
After Sex,Eric AmadioComedy
After The Ball,Sean GarrityComedy
After The Dark,John HuddlesDrama Fantasy Science Fiction Thriller
After The Storm,Hirokazu KoreedaDrama
After The Sunset,Brett RatnerAction Comedy Crime Drama
After The Thin Man,W.S. Van DykeComedy Crime Mystery
After The Wedding,Susanne BierDrama
After.Life,Agnieszka Wojtowicz-VoslooDrama Horror Mystery Thriller
Aftermath,Peter EngertThriller Drama
Aftermath,Elliott LesterDrama Thriller
Afternoon Delight,Jill SolowayComedy Drama
Aftershock,Nicolás LópezHorror Thriller
Aftershock: Earthquake In New York,Mikael SalomonAction Drama Thriller
Afterwards,Gilles BourdosDrama Thriller Mystery
Against The Dark,Richard CrudoHorror Action Thriller Science Fiction
Against The Sun,Brian FalkWar Adventure
Agatha,Michael AptedDrama Mystery Thriller
Age Of Consent,Michael PowellComedy Drama Romance
Age Of Dinosaurs,Joseph J. LawsonAction Science Fiction
Age Of Tomorrow,James KondelikThriller Science Fiction Action
Age Of Uprising: The Legend Of Michael Kohlhaas,Arnaud des PallièresDrama History
Agent Cody Banks,Harald ZwartAction
Agent Cody Banks 2: Destination London,Kevin AllenComedy
Agnes Browne,Anjelica HustonDrama
Agnes Of God,Norman JewisonDrama Mystery
Agora,Alejandro AmenábarAdventure Drama History
Aguirre: The Wrath Of God,Werner HerzogAdventure Drama History
Ain'T Them Bodies Saints,David LoweryCrime Drama Romance Western
Air,Christian CantamessaThriller Science Fiction
